pH,Temperature,Dissolved Oxygen,Electrical Conductivity,Turbidity,Nitrogen,Phosphorus,Potassium,Water Hardness,Label
6,25,8.3,2,1.3,13,3,19,51,1
6.2,17,6.4,3.1,1.3,16,6,15,93,0
5.7,19,8,2.3,2,17,6,20,44,1
5.2,24,4.2,1.5,1.1,13,4,24,74,0
6.7,16,5.3,1.8,1.6,8,2,19,42,1
6.5,17,6.5,2.4,0.6,8,2,15,94,0
7.4,21,4.9,2.2,1.9,16,3,20,41,1
7.4,20,4.3,1.2,1.7,15,2,18,70,0
6.1,25,7.9,2.9,1.9,7,6,21,107,1
5.9,24,5.6,3.1,1.7,5,3,24,90,0
6.3,21,5.5,1.9,0.9,17,4,24,77,1
7.5,23,8.1,2.4,1.3,13,5,16,65,0
5.4,22,8.1,1.7,1.3,20,6,24,96,1
5.5,19,6.1,1.6,1.7,8,6,24,86,0
5.5,20,5.8,1.2,0.6,20,4,15,70,1
7.3,20,7.8,1.4,1.8,9,2,23,47,0
6,17,5.5,3.4,0.9,7,3,23,86,1
7.4,15,6.7,1.3,1.9,14,2,17,68,0
6.5,23,4.6,1.6,1.2,11,2,17,89,1
5.3,15,5.2,2.9,2,10,6,21,81,0
7.2,19,5,2.7,1.8,11,6,15,113,1
6.1,16,7.9,1.9,1.3,17,6,24,91,0
5.7,21,5.9,1.4,2,18,4,23,65,1
7.1,23,5.4,2.6,1.6,11,6,18,104,0
5.6,15,5.2,2.9,0.5,10,6,20,79,1
6.3,23,6.3,3,1.4,5,5,23,98,0
6,24,4.6,2.4,0.7,7,5,20,115,1
5.7,18,4.9,3.2,1.3,6,3,15,41,0
7.3,23,7.8,1,1.4,6,5,17,48,1
6.1,25,5.1,1.8,1,8,2,15,54,0
6,16,4.3,2.7,1.4,7,5,20,99,1
7.5,16,7,2,0.9,15,3,17,89,0
7.3,23,6.9,2.7,1.6,16,3,19,80,1
6.4,24,4.7,3.4,1.7,15,6,22,60,0
6.1,24,5.8,1.7,1,7,6,19,107,1
6.4,17,8.3,1.4,0.6,9,4,15,116,0
6.4,19,8.2,1.8,1.3,17,4,21,58,1
6.4,25,6.1,2.3,1.3,12,2,24,43,0
7.5,15,4.5,2.6,0.9,11,3,21,112,1
7.5,24,5.4,2.7,1.4,11,6,16,70,0
6.8,21,8.5,2.2,1.8,12,3,24,63,1
5.5,18,4.7,2.9,1,7,5,15,101,0
6.6,15,4.3,2.4,1.3,6,3,20,85,1
7.4,16,7.1,2.3,1.1,19,2,23,96,0
7.1,19,7,1.7,1.1,12,5,24,118,1
5.2,21,7.8,1.1,1.2,16,6,23,108,0
5.7,16,7.3,1.1,1.3,11,2,21,95,1
6,24,7.4,2.6,1.3,14,4,23,81,0
6.4,22,4.8,1.1,1.5,11,3,19,73,1
6,24,8.2,2.5,1.4,5,4,17,112,0
5.2,19,4.7,2,0.7,12,6,16,50,1
7.4,25,4.8,2.6,1.3,7,4,17,72,0
6.1,23,7.1,1.6,0.7,11,6,24,108,1
5.7,15,5.3,2.1,1,18,3,19,42,0
6,21,5.7,2.6,0.8,10,3,20,110,1
7.4,22,5.2,1.9,1.1,19,6,22,97,0
6.2,25,5.3,1.2,1.9,8,2,21,109,1
6.7,19,6.8,1.8,1.6,20,2,22,111,0
5.2,23,7.6,2.1,0.8,17,3,18,48,1
6.2,17,4.9,1.2,1.4,20,6,15,57,0
6.7,21,5,1.6,1,15,2,15,97,1
6.8,15,4.2,3.3,1.7,12,6,23,65,0
7.3,19,4.5,1.4,1.5,12,3,21,65,1
6.8,15,7,2.6,0.9,17,2,15,50,0
7.3,18,5.3,1.7,1.3,16,4,15,81,1
6.7,16,8.3,2.7,1.3,5,5,19,67,0
5.8,16,5.8,2.6,0.6,14,3,18,56,1
6.5,19,4.6,2.3,1.2,11,5,24,59,0
6.4,19,5.3,1.4,1.2,8,2,16,40,1
5.8,25,5.7,1.6,0.9,7,5,16,62,0
6,25,6.7,2.6,0.5,12,5,18,93,1
7.4,20,5.8,2.2,0.7,7,6,21,114,0
5.5,25,6.4,1.6,0.9,13,3,17,47,1
7.2,17,8.2,3,1.9,14,2,15,116,0
6.1,21,4.2,1.6,1.3,13,6,15,43,1
6.9,23,6.9,2,1.5,11,3,15,119,0
6.2,18,7,3.3,1.2,15,2,19,46,1
6.6,21,5.9,3,1.5,18,2,24,43,0
7.2,20,5.8,2.3,0.6,10,2,21,55,1
6.6,16,4.9,2.9,0.7,16,5,21,69,0
7.2,23,7.2,1.3,1,8,2,17,55,1
6.7,19,4.9,1.1,1.7,14,3,16,85,0
5.3,21,4.5,2.7,1.1,6,5,16,44,1
7.4,23,4.7,2.8,1,11,3,24,57,0
5.5,16,4.3,3.4,1.1,19,2,23,61,1
7.5,22,8.3,3.3,1.1,18,5,21,44,0
6.3,22,6.2,1.4,0.7,15,3,19,40,1
7.5,16,7.3,1.4,1.6,19,2,24,48,0
6.3,24,4.8,3.1,1.4,14,6,20,99,1
5.3,20,6.8,2.8,1.9,15,5,16,56,0
7.1,19,6.1,3.4,0.5,5,2,18,83,1
7.1,18,5.8,1.9,0.8,15,2,20,42,0
7.2,21,6.4,1.7,0.6,16,5,23,63,1
7.2,24,5.9,2.4,0.5,20,2,23,75,0
7.3,23,7,2.1,1.1,18,5,16,41,1
6.6,17,6.9,1.3,1,11,2,18,99,0
5.5,19,6.3,2.7,1.8,8,3,16,47,1
5.9,18,6.6,2.8,0.9,8,4,15,64,0
7,15,4.6,3.4,1.5,15,6,23,102,1
6.2,24,8,1.1,0.7,17,3,17,99,0
6.8,19,4,3,0.7,20,6,21,83,1
6.4,17,7.5,2.3,1,16,3,15,91,0
6.6,25,4.3,1.6,1.6,5,4,15,69,1
6.5,21,6.2,3.3,1.8,15,6,24,64,0
7.5,15,7,3.4,1.5,13,3,23,101,1
7,21,5.7,2.1,1.1,10,3,17,119,0
6.3,18,4.8,2.1,2,17,4,19,71,1
6.4,15,7.3,3.4,1.2,6,3,17,74,0
7.4,21,8.1,1.8,1,13,2,16,106,1
5.4,18,7.6,3.5,0.5,19,4,21,116,0
5.6,23,5.7,2.3,1.4,16,3,22,91,1
6,18,7.2,2.1,0.9,11,6,15,43,0
6.2,19,6.3,2.1,0.9,8,4,21,62,1
6.3,21,5.7,2.7,1.4,18,2,17,78,0
7.2,24,4.9,2.7,1.4,15,3,22,70,1
6.9,23,6.2,1.9,0.6,10,6,23,81,0
6.8,24,6.3,1.5,0.7,15,2,18,72,1
7.3,17,4.8,1.3,0.9,19,6,18,51,0
7.1,18,7.7,3.4,1.4,17,2,17,104,1
7.5,19,5.2,2.6,2,19,5,22,47,0
7,23,4,2.5,1.4,12,2,17,51,1
6.7,15,5.7,3.1,1.2,9,5,19,118,0
7,20,5,1.7,1.1,20,5,23,93,1
7,16,6.2,1.2,0.9,19,6,19,107,0
5.5,22,8.1,1.8,1,11,3,16,101,1
6.3,22,6.9,3.4,0.7,14,5,17,87,0
6.2,22,4.4,1.5,1.8,11,3,17,69,1
6.4,23,4,2.5,1.5,13,6,18,96,0
5.6,22,5.2,3.4,0.7,7,3,23,69,1
6.5,23,5.4,3.3,1.7,13,3,18,94,0
5.1,24,8.5,3.4,1.3,9,4,17,100,1
6.9,20,5.2,2.9,1.7,14,2,18,60,0
6.1,18,4.8,1.3,0.9,15,3,16,97,1
5.1,20,8.1,3.5,0.8,20,4,23,43,0
6.1,19,7.9,1.3,1.8,18,4,17,89,1
5.6,25,7.1,1,1.2,8,3,22,53,0
5.8,20,6.3,1.9,1.2,18,4,21,83,1
7.3,15,4.1,2.6,1.6,18,3,22,71,0
6.3,16,4,2.7,0.6,13,3,23,79,1
6.4,25,6.6,3.3,1.3,14,3,17,92,0
5.6,19,4.4,2.7,1.8,7,3,21,49,1
5.9,25,6.9,2.9,1,15,6,20,107,0
5.9,21,8.2,1.9,1.8,16,2,22,65,1
5.5,22,5.5,2.7,1.4,5,2,24,40,0
5.9,15,4.9,3.2,2,17,5,18,99,1
5.6,25,4.9,2.7,2,11,3,18,50,0
6.9,21,5.4,2.6,0.7,18,2,20,57,1
6.5,22,6.6,1.1,1.4,15,6,19,57,0
6.4,17,5.3,3.3,1,10,6,20,94,1
7.2,22,6.9,2.5,0.9,6,4,17,74,0
5.1,16,4,2.2,0.6,11,4,16,99,1
5.2,22,5.9,1.7,0.9,6,3,20,96,0
5,19,7.2,3.4,1.2,7,6,19,82,1
7.4,19,4.1,2.9,1.3,16,5,21,78,0
6.1,22,6.9,1.1,1.1,8,2,22,48,1
5.4,16,4.4,2.9,1.4,6,5,23,51,0
6.9,20,6.6,1.8,0.9,18,5,22,96,1
5.4,25,7.3,2.7,1.7,16,6,20,59,0
6.4,18,6.5,1.8,1.3,14,6,18,75,1
6.4,16,4.3,2.8,1.5,11,6,16,64,0
6.5,21,5.3,1.6,1.8,15,2,20,110,1
6.9,25,5,2.8,1.6,10,5,19,82,0
6,17,8.2,1.2,1.7,19,2,15,99,1
5.1,15,6.9,1.9,1.8,14,5,16,72,0
5.4,25,5.8,2.2,1.9,16,5,19,46,1
6.3,24,7.2,3.4,0.5,13,3,16,68,0
5.1,15,5.4,1.3,1.1,12,6,22,82,1
5.2,24,7.1,1.7,1.8,17,5,21,113,0
5.2,17,4.6,2.6,1.6,7,6,23,74,1
5.1,21,5.4,2.1,1.5,18,2,16,40,0
7.2,15,8.2,1.2,1.9,10,2,18,108,1
6.2,22,7.5,3.2,0.7,7,2,19,50,0
6.2,24,5.7,2,1.9,12,5,20,102,1
6.6,17,7.3,3.2,0.5,12,3,21,99,0
6.9,18,5.2,3.4,1,16,5,19,50,1
6.9,25,6.2,2.3,1.9,19,6,20,83,0
6.6,21,6.9,3.5,1.5,5,4,15,98,1
5.1,15,5.8,1.4,0.6,8,5,20,90,0
5.5,22,7.4,2.4,1.2,17,2,17,79,1
6.9,16,4.8,2.4,1.9,5,3,15,98,0
6.5,24,4.6,2.2,1.9,15,6,18,86,1
7.5,22,7.6,2.8,1.5,19,6,20,85,0
5.1,18,5.2,1.5,1.1,8,2,22,56,1
5.3,15,8.3,2.8,1.6,5,2,21,49,0
5.3,19,5.3,2.9,0.9,9,4,17,74,1
7.2,20,4.8,1.7,0.8,16,5,24,64,0
5.5,21,8.5,2.1,1.4,20,6,24,91,1
5.2,15,4,2.9,1.9,5,2,21,78,0
5,25,6.3,2.4,1.7,12,5,20,102,1
5.4,18,7.8,3,1.8,11,4,23,69,0
6.1,20,4,2.7,1.2,20,5,23,101,1
6.9,23,7.1,3.2,0.6,19,4,24,62,0
6,25,7,2.8,1.7,6,4,19,55,1
6.6,18,4.2,1.7,0.6,11,5,15,88,0
6.6,17,7.1,2.7,1.6,12,4,21,98,1
7.1,24,5.9,2.7,0.9,14,4,21,82,0
5.3,24,6.8,1.9,1.3,8,6,22,98,1
6.5,18,6.7,1.6,1.1,11,4,15,42,0
5.2,23,7.4,2.6,1,8,3,17,45,1
6.1,19,5.3,3.3,1.8,8,6,20,44,0
5.4,24,6.5,2.5,2,20,3,16,50,1
7.2,20,4.4,3.4,0.7,7,6,15,74,0
7.1,24,5.3,1.1,1.5,13,2,24,60,1
5.7,20,6.4,2.8,1.7,12,3,15,83,0
5,16,7.8,1.9,1.3,8,4,15,68,1
6.2,23,6.1,1.8,1.3,14,5,16,54,0
5.3,25,4.4,2.3,0.6,11,6,16,109,1
7.3,20,6.4,1.6,1.3,13,4,15,64,0
7.5,15,6.2,1.5,1.6,13,6,18,114,1
6,20,5.6,3.3,0.6,18,2,17,60,0
6.9,17,4.1,2.4,0.6,12,6,15,81,1
6.8,25,7.5,3.1,1.7,16,2,20,51,0
6.9,20,8.3,3.1,1.2,15,2,21,49,1
6.9,21,5.5,1.7,1.2,20,2,24,80,0
6.2,16,7.7,3.2,0.9,9,5,24,114,1
5,18,6.6,1.5,1.3,5,2,21,50,0
6,20,5.6,1.3,1.4,18,4,23,50,1
6.6,23,6.2,2.2,1.4,11,6,15,117,0
7.1,16,7.3,3,1.3,14,2,24,61,1
5.3,16,5.7,2.7,1.5,12,5,22,48,0
6.8,20,6.8,1.4,1.6,13,5,23,66,1
7.2,23,6.8,3.1,0.7,12,5,21,57,0
5.7,22,6,1.1,0.9,10,4,17,75,1
6.6,22,4.7,1.4,0.7,18,6,24,43,0
6.6,23,4.8,2.3,1.5,12,2,16,52,1
6.2,20,5.2,2.5,1.9,8,6,19,86,0
6.3,17,4.9,2.9,1.4,7,5,17,90,1
6.6,24,4.2,2.1,1,18,4,21,84,0
6,19,8,2.6,0.6,14,2,17,57,1
5.5,22,4.2,1.2,0.9,6,6,20,42,0
5.8,16,5.7,2.3,1.4,19,5,22,57,1
7.2,20,5.1,2.3,1.9,5,3,19,89,0
5.8,15,5.6,2.4,1.9,20,3,24,105,1
6.1,18,7.3,1.7,1.7,6,4,24,86,0
6.9,16,6.3,1.4,0.8,8,6,22,79,1
5.8,22,7.1,1.1,2,10,6,17,46,0
7.2,19,6.2,2.4,1.3,10,5,19,104,1
5.6,25,5.1,1.3,0.8,13,3,16,92,0
5.5,25,7.4,2.5,1,6,6,18,66,1
5.7,24,4.2,3,0.9,7,4,15,48,0
5.6,22,7.6,1,1.4,18,4,19,108,1
7,16,7.2,1.9,1,5,4,24,92,0
6.4,19,8.5,1.6,1,14,3,16,56,1
7.2,15,8.4,2.9,0.7,19,2,17,112,0
6.6,17,6.3,3,1.5,6,2,16,90,1
5.8,20,6.7,2.1,0.7,17,6,17,102,0
6.6,25,4.6,1.9,1,8,5,20,61,1
5.8,16,8.4,1.4,2,5,6,21,99,0
7.1,21,7.6,2.1,1.4,6,3,23,82,1
5.4,18,6.5,2.2,0.6,15,3,15,68,0
7.3,15,4.9,1.9,0.6,19,5,16,42,1
6.1,23,8.1,1.3,2,19,2,15,85,0
6.6,24,5.4,1.3,1.8,13,2,18,100,1
6.1,24,6.1,2.8,1,19,3,15,75,0
7.4,24,5.8,3,1.7,18,6,19,60,1
7.1,19,5.1,1.4,1,12,3,22,43,0
5.8,25,5.9,2.4,1.8,8,3,20,87,1
5.7,15,4.2,2.6,1.4,14,6,23,58,0
6.3,16,6.7,1.1,1.5,14,6,15,68,1
6.3,18,6,2.7,1.8,20,6,23,71,0
5.7,20,4.5,3.2,1.5,9,3,20,54,1
5.3,18,4.5,3.1,0.9,14,4,17,79,0
6.2,15,6.7,1.3,1.7,18,4,21,69,1
7.3,22,7.3,1.9,0.6,9,4,16,100,0
5.7,20,8.3,3.3,0.8,17,2,24,44,1
7.2,24,4.4,1.1,0.8,5,5,15,65,0
6.4,16,7.2,3.2,1.5,7,4,21,78,1
5.2,19,8.4,2.8,1.4,20,4,18,42,0
5.3,21,5.9,1.8,0.5,16,6,20,83,1
6.7,21,4.2,2.1,1.4,16,5,22,45,0
5.1,19,6.7,2,1.4,14,4,20,107,1
7.4,19,5.3,2.3,1.3,9,5,19,85,0
6.9,17,4.9,1.6,1,11,5,23,69,1
6.5,20,7.9,1.1,1.3,8,6,22,59,0
5.7,20,8.1,2.7,0.8,16,2,20,80,1
7.1,15,5.8,2,0.5,7,6,17,104,0
6.3,23,4.1,2.9,0.6,8,3,23,107,1
6.6,16,6.7,1.7,0.8,15,4,18,79,0
5.6,18,6.6,1.3,1.8,15,5,19,82,1
7.5,17,4.4,2.8,1.2,13,6,18,64,0
6.9,17,4.4,2.3,1.5,12,4,19,94,1
6,23,6.8,1.9,0.8,6,4,21,44,0
5.5,20,6.8,2.6,1,11,5,18,53,1
5.1,16,4.8,2.2,1.7,9,4,24,99,0
7.3,19,7.3,2.1,1.1,6,3,20,40,1
5.2,15,6,1.2,0.7,14,6,22,106,0
7.1,16,4.8,2.6,0.7,11,5,21,100,1
5.4,19,7.1,3.2,1.4,16,2,18,95,0
5.4,16,8.4,2.7,1.1,5,2,19,112,1
7.5,15,5.7,2.5,1.7,8,4,18,66,0
6.4,20,4.3,3,1.8,11,4,21,113,1
7,20,6.6,2.4,1.3,7,2,22,94,0
5.8,17,5.3,2,1.1,7,6,15,103,1
7.4,25,7.9,3,0.8,17,5,17,61,0
6.2,16,6.2,2,1.9,17,5,16,72,1
7.3,15,6,1.4,2,18,6,20,72,0
7.2,23,5,2.8,1.8,8,5,16,99,1
5.3,24,8.4,2.3,1.2,5,5,18,47,0
7.1,21,7,2.8,1.6,12,2,19,58,1
7.4,17,8.3,2.8,0.8,9,2,16,63,0
5.8,23,7.7,2,1.9,11,6,23,103,1
5.1,17,8.1,3.2,1.9,6,2,17,91,0
5,21,6.4,2.5,1.1,13,5,21,95,1
5.8,17,4.2,3.4,1.1,10,3,21,67,0
6.4,21,8.4,2.7,1.7,8,2,20,83,1
6.6,25,6.2,2.6,1.5,20,6,20,101,0
5.3,16,7,1.1,2,12,2,15,68,1
5.8,25,6.7,3,1.5,11,5,15,51,0
5.6,18,5.7,1.1,1.5,19,6,18,98,1
5.9,18,5.6,2,0.8,20,5,15,92,0
5.7,15,8,3.1,0.8,16,5,17,96,1
6.9,25,7.5,3.4,0.9,19,5,20,66,0
5.6,16,5.7,2.1,0.6,15,4,19,85,1
7.3,22,8.3,3.5,1.3,15,3,20,89,0
6,22,5.3,2.1,0.9,6,6,24,64,1
7.2,17,8.3,1.3,1.3,13,2,19,40,0
7.4,15,6.6,3.1,1.7,8,5,21,116,1
6.1,20,5,2.9,0.8,8,4,19,61,0
5.4,25,8,1.4,1.8,6,3,20,116,1
6.2,18,5.8,1.7,1.9,5,2,15,80,0
7.3,24,7.9,3.4,1,19,3,15,45,1
5.1,17,6.2,1.7,1.8,20,4,15,117,0
5.5,20,5.4,2.4,0.8,6,5,24,114,1
6.2,19,4.7,3.3,1.7,15,5,22,66,0
5.6,19,4.4,2.8,2,16,2,20,88,1
6,19,4.9,2.6,1.4,17,4,24,119,0
5.9,19,6,2.1,1.8,6,4,18,118,1
6.4,23,6.8,2.3,1.3,6,3,18,112,0
5.4,21,8,2.4,0.8,19,3,22,95,1
6.1,16,7,1.5,0.7,7,3,16,96,0
6.1,25,6,3.5,1.6,11,5,17,106,1
6.3,15,6.8,2.6,0.8,5,5,20,117,0
6.3,15,4.8,2,1,12,6,21,93,1
5.9,19,4.7,2.9,1.8,9,6,18,89,0
6.1,23,5.7,3.1,1.2,6,6,17,87,1
5.2,16,8.4,3.1,1.9,13,6,24,60,0
6.6,21,7.9,3.3,0.9,16,4,20,69,1
5.4,23,4.9,2.3,1.4,20,2,16,67,0
7.4,25,6,2.2,1,12,3,18,61,1
6.1,17,8.2,1.3,0.7,16,4,20,73,0
5.2,18,6.5,2.8,1.2,9,6,17,95,1
7.1,22,7.5,2.6,1.2,11,2,22,89,0
6.3,16,7.2,1.2,1.1,7,6,22,118,1
5.9,19,6.5,2.9,0.5,5,4,24,89,0
7.3,24,7.5,3.1,1.3,16,6,17,79,1
5.2,19,6,2,1.7,20,3,20,115,0
6.9,17,6.8,2.5,1.1,12,5,19,102,1
5.1,15,4.9,1.3,1.1,19,5,20,62,0
5.3,25,4.4,3.5,1.1,16,2,22,105,1
6,19,8.3,1.4,0.9,10,6,17,45,0
6.2,25,4.5,3.4,1.1,11,3,20,97,1
7.3,23,6.6,1.3,0.8,16,2,17,82,0
6.1,23,6.8,1.6,0.6,6,6,24,78,1
